File name;Betamentality.Question005;Betamentality.Question006;Betamentality.Question007;Betamentality.Question008;Betamentality.Question009;Betamentality.Question010;Betamentality.Question011;Betamentality.Question012;Betamentality.Question013;Betamentality.Question014;Betamentality.Question015;Betamentality.Question016;Betamentality.Question017;Betamentality.Question018;Betamentality.Question019;Betamentality.Question020;Betamentality.Question021;Interview.Question003;Leerling#.Question001;Leerling#.Question002;Vakken.Question004
Enquete19;D;B;C;C;B;A;B;D;B;B;B;C;B;B;C;B;B;A;E;C;D
Enquete18;D;B;B;C;B;C;B;D;C;C;C;D;B;A;C;B;C;A;B;E;B|C|D
Enquete17;C;B;B;C;B;B;B;C;C;C;C;D;C;C;C;B;C;A;G;H;D
Enquete15;C;C;C;B;C;A;B;B;D;C;C;D;C;A;C;B;B;B;B;F;A|D
Enquete59;B;D;C;C;C;A;B;B;C;A;D;D;C;A;C;C;A;A;E;H;A|D
Enquete58;B;C;C;D;B;A;B;C;C;A;C;D;C;B;C;C;B;B;D;J;A|D
Enquete13;C;B;B;C;B;A;B;C;C;A;B;D;C;B;D;B;B;B;D;I;A|D
Enquete57;C;B;B;A;C;C;B;C;B;C;B;C;B;D;B;B;C;A;F;I;B|C|D
Enquete12;C;C;D;C;A;A;B;B;C;A;B;D;C;B;C;C;C;B;I;B;A|D
Enquete56;D;B;C;B;B;A;B;C;C;A;A;D;B;C;B;B;B;B;D;H;A
Enquete11;C;C;B;C;B;B;C;C;C;A;B;C;C;B;B;C;B;A;F;E;D
Enquete55;C;C;C;C;B;B;B;D;D;B;C;C;B;A;C;B;B;B;A;D;D
Enquete10;C;C;B;C;A;C;B;C;D;B;C;C;B;A;B;C;B;B;F;F;A|D
Enquete54;C;B;B;B;A;B;B;C;D;A;C;D;C;A;C;C;B;B;G;A;
Enquete53;D;B;B;C;B;A;B;B;A;A;B;D;B;B;B;C;B;B;C;G;A|D
Enquete52;D;D;D;B;C;A;D;D;C;B;B;D;A;B;D;A;A;A;F;J;
Enquete51;C;B;A;C;B;A;B;C;C;B;C;D;C;B;B;B;C;B;C;H;A|D
Enquete50;B;A;B;D;A;C;A;B;D;B;D;C;B;A;C;C;D;B;B;B;A|B|D
Enquete09;D;B;C;B;B;B;C;B;C;B;C;C;C;B;C;C;B;B;C;C;A|D
Enquete08;D;B;C;B;B;B;B;C;C;B;B;C;C;B;C;C;A;B;D;C;A|D
Enquete07;D;B;B;B;C;B;B;C;B;A;B;D;B;A;D;C;C;B;C;E;A
Enquete06;C;C;B;C;C;A;B;C;A;A;A;D;C;D;C;D;C;B;B;H;D
Enquete05;D;A;D;D;A;D;B;D;C;B;C;D;D;B;D;B;D;A;H;C;A|C
Enquete49;B;B;D;D;B;D;B;B;D;D;D;D;D;A;C;B;B;A;E;D;B|C
Enquete04;C;B;B;B;B;A;B;C;B;A;B;D;D;C;D;C;C;B;A;I;A|D
Enquete48;D;B;B;C;A;A;A;A;D;A;A;D;B;B;B;B;B;A;F;B;B|D
Enquete03;C;A;B;D;C;B;A;B;C;C;B;D;D;C;C;C;C;A;F;H;D
Enquete47;D;C;B;C;B;A;B;C;B;A;A;C;C;B;A;B;C;B;E;G;B|D
Enquete02;C;B;B;B;B;C;B;C;B;C;C;D;B;A;B;C;B;B;E;J;
Enquete46;D;B;C;C;B;B;C;C;D;C;B;D;C;B;C;D;C;A;C;F;D
Enquete01;D;B;C;B;B;B;B;B;B;C;B;C;B;B;C;B;B;A;E;F;
Enquete45;C;B;B;B;B;C;B;C;C;B;C;C;B;B;C;B;C;A;F;C;B|D
Enquete43;C;C;B;B;A;A;A;D;D;B;A;D;D;A;D;D;B;B;D;G;
Enquete42;C;B;C;C;A;A;B;C;C;A;C;D;D;C;C;D;B;A;J;J;B|D
Enquete41;D;B;B;B;B;B;B;C;C;B;B;D;B;B;C;B;B;A;D;G;B|D
Enquete40;C;B;B;C;B;C;A;C;B;C;B;D;C;C;D;B;C;A;A;H;A|B|C|D
Enquete39;C;B;C;D;B;B;B;B;C;B;B;C;C;C;B;D;C;A;B;D;D
Enquete38;;C;B;A;B;C;B;C;C;B;B;D;C;A;D;C;C;A;H;G;A|C
Enquete36;C;B;C;C;B;D;C;C;C;D;C;D;C;A;C;C;C;A;B;J;A|B|C|D
Enquete35;C;C;C;C;B;B;B;C;C;C;C;D;C;B;C;C;C;B;A;E;A
Enquete34;D;C;C;C;C;C;C;C;C;A;A;C;C;B;C;C;B;B;B;A;A
Enquete33;D;C;A;C;D;A;A;C;C;C;C;D;D;D;C;A;A;B;D;A;A|C|D
Enquete32;D;C;C;B;A;A;B;D;B;A;A;C;B;C;B;C;B;A;C;F;D
Enquete31;C;C;C;C;B;B;B;C;D;A;D;D;D;A;D;B;C;A;D;D;C
Enquete30;C;B;B;C;A;C;A;B;D;C;B;D;C;B;C;B;C;A;B;C;C|D
Enquete70;C;B;B;A;B;B;C;C;C;A;B;D;C;B;C;C;B;B;F;D;A
Enquete29;C;D;B;A;D;A;B;A;B;A;A;D;C;C;A;A;C;B;B;I;A|D
Enquete28;;C;B;A;D;C;A;A;D;C;D;C;B;A;A;A;C;B;E;B;A|B|D
Enquete26;B;B;A;B;C;A;B;B;C;B;C;D;C;B;B;C;B;A;C;J;A|D
Enquete25;C;A;A;C;A;B;A;B;B;D;D;D;D;D;D;D;D;D;B;J;D
Enquete69;D;B;A;C;B;B;A;C;D;C;C;B;C;B;B;C;B;B;F;I;A|B|D
Enquete24;;C;C;C;B;C;B;B;C;A;C;D;C;A;C;B;B;B;H;I;A
Enquete23;C;A;C;C;C;C;B;B;C;B;C;D;C;A;C;C;D;A;D;E;A|B|C|D
Enquete67;B;B;A;A;A;A;B;C;D;A;D;D;D;A;D;C;C;B;H;E;A
Enquete66;C;B;A;B;B;A;B;B;C;A;C;D;C;A;C;A;B;B;B;G;A|B|C|D
Enquete21;D;C;C;C;C;A;B;C;D;B;C;C;B;A;C;B;A;B;G;J;A|B|D
Enquete65;C;B;A;C;A;C;A;C;D;B;C;D;C;A;C;B;C;A;G;B;A|D
Enquete20;B;A;B;C;A;B;A;A;B;C;C;D;C;C;B;B;D;A;H;J;B|C|D
Enquete64;C;B;A;C;A;C;A;C;D;B;C;D;C;A;C;B;B;B;H;D;D
Enquete63;D;B;B;C;B;C;B;B;B;C;C;C;C;B;C;B;C;B;E;A;A|B|C
Enquete62;D;B;A;C;A;D;A;C;A;D;B;D;C;C;D;C;B;A;D;B;B|C|D
Enquete61;D;C;C;B;B;A;B;B;C;A;A;D;C;A;D;D;B;B;G;G;D
Enquete60;B;D;C;B;C;A;D;A;C;A;D;D;B;A;B;D;A;B;F;A;
